,amount,commission,sid,status,time,symbol
0,167000,5010.0,2010001102,1,2014-02-28 00:00:00+00:00,000559
1,90700,2721.0,2010003674,1,2014-02-28 00:00:00+00:00,002432
2,31700,951.0,2010004696,1,2014-02-28 00:00:00+00:00,300226
3,75000,2250.0,2010004815,1,2014-02-28 00:00:00+00:00,002602
4,43000,1290.0,2010007690,1,2014-02-28 00:00:00+00:00,002713
5,38600,1158.0,2010007696,1,2014-02-28 00:00:00+00:00,002717
6,56600,1698.0,2010007712,1,2014-02-28 00:00:00+00:00,002722
7,9300,279.0,2010001102,1,2014-03-03 00:00:00+00:00,000559
8,15000,450.0,2010003674,1,2014-03-03 00:00:00+00:00,002432
9,6300,189.0,2010004696,1,2014-03-03 00:00:00+00:00,300226
10,12800,384.0,2010004815,1,2014-03-03 00:00:00+00:00,002602
11,1600,48.0,2010007690,1,2014-03-03 00:00:00+00:00,002713
12,1400,42.0,2010007696,1,2014-03-03 00:00:00+00:00,002717
13,41800,1254.0,2010001102,1,2014-03-04 00:00:00+00:00,000559
14,19000,570.0,2010003674,1,2014-03-04 00:00:00+00:00,002432
15,5800,174.0,2010004696,1,2014-03-04 00:00:00+00:00,300226
16,19800,594.0,2010004815,1,2014-03-04 00:00:00+00:00,002602
17,-44600,1338.0,2010007690,1,2014-03-04 00:00:00+00:00,002713
18,6800,204.0,2010007696,1,2014-03-04 00:00:00+00:00,002717
19,-218100,6543.0,2010001102,1,2014-03-05 00:00:00+00:00,000559
20,-124700,3741.0,2010003674,1,2014-03-05 00:00:00+00:00,002432
21,-43800,1314.0,2010004696,1,2014-03-05 00:00:00+00:00,300226
22,-107600,3228.0,2010004815,1,2014-03-05 00:00:00+00:00,002602
23,-46800,1404.0,2010007696,1,2014-03-05 00:00:00+00:00,002717
24,-56600,1698.0,2010007712,1,2014-03-10 00:00:00+00:00,002722
25,149000,4470.0,2010000591,1,2014-03-13 00:00:00+00:00,600680
26,319100,9573.0,2010000757,1,2014-03-13 00:00:00+00:00,600846
27,279200,8376.0,2010001864,1,2014-03-13 00:00:00+00:00,002274
28,187800,5634.0,2010003477,1,2014-03-13 00:00:00+00:00,300044
29,86500,2595.0,2010004197,1,2014-03-13 00:00:00+00:00,300130
30,244200,7326.0,2010004645,1,2014-03-13 00:00:00+00:00,002579
31,2100,63.0,2010000591,1,2014-03-14 00:00:00+00:00,600680
32,-700,21.0,2010000757,1,2014-03-14 00:00:00+00:00,600846
33,-13600,408.0,2010001864,1,2014-03-14 00:00:00+00:00,002274
34,-1400,42.0,2010003477,1,2014-03-14 00:00:00+00:00,300044
35,-2700,81.0,2010004197,1,2014-03-14 00:00:00+00:00,300130
36,-1900,57.0,2010004645,1,2014-03-14 00:00:00+00:00,002579
37,-1700,51.0,2010000591,1,2014-03-17 00:00:00+00:00,600680
38,5800,174.0,2010000757,1,2014-03-17 00:00:00+00:00,600846
39,8900,267.0,2010001864,1,2014-03-17 00:00:00+00:00,002274
40,-2500,75.0,2010003477,1,2014-03-17 00:00:00+00:00,300044
41,-900,27.0,2010004197,1,2014-03-17 00:00:00+00:00,300130
42,-3500,105.0,2010004645,1,2014-03-17 00:00:00+00:00,002579
43,-149400,4482.0,2010000591,1,2014-03-18 00:00:00+00:00,600680
44,-324200,9726.0,2010000757,1,2014-03-18 00:00:00+00:00,600846
45,-274500,8235.0,2010001864,1,2014-03-18 00:00:00+00:00,002274
46,-183900,5517.0,2010003477,1,2014-03-18 00:00:00+00:00,300044
47,-82900,2487.0,2010004197,1,2014-03-18 00:00:00+00:00,300130
48,-238800,7164.0,2010004645,1,2014-03-18 00:00:00+00:00,002579
49,2166900,65007.0,2010000216,1,2014-04-04 00:00:00+00:00,600246
50,922300,27669.0,2010000517,1,2014-04-04 00:00:00+00:00,600606
51,-734700,22041.0,2010000216,1,2014-04-08 00:00:00+00:00,600246
52,-314500,9435.0,2010000517,1,2014-04-08 00:00:00+00:00,600606
53,243900,7317.0,2010004883,1,2014-04-08 00:00:00+00:00,002617
54,-500,15.0,2010000216,1,2014-04-09 00:00:00+00:00,600246
55,-2800,84.0,2010000517,1,2014-04-09 00:00:00+00:00,600606
56,-23400,702.0,2010004883,1,2014-04-09 00:00:00+00:00,002617
57,-1431700,42951.0,2010000216,1,2014-04-10 00:00:00+00:00,600246
58,-605000,18150.0,2010000517,1,2014-04-10 00:00:00+00:00,600606
59,419200,12576.0,2010004883,1,2014-04-10 00:00:00+00:00,002617
60,-639700,19191.0,2010004883,1,2014-04-11 00:00:00+00:00,002617
61,1739500,52185.0,2010000339,1,2014-04-29 00:00:00+00:00,600383
62,187000,5610.0,2010000339,1,2014-04-30 00:00:00+00:00,600383
63,4600,138.0,2010000339,1,2014-05-05 00:00:00+00:00,600383
64,-1931100,57933.0,2010000339,1,2014-05-06 00:00:00+00:00,600383
65,652000,19560.0,2010001213,1,2014-05-12 00:00:00+00:00,000693
66,-15300,459.0,2010001213,1,2014-05-13 00:00:00+00:00,000693
67,-636700,19101.0,2010001213,1,2014-05-15 00:00:00+00:00,000693
68,209000,6270.0,2010000453,1,2014-05-28 00:00:00+00:00,600536
69,704900,21147.0,2010003352,1,2014-05-28 00:00:00+00:00,002307
70,214800,6444.0,2010007093,1,2014-05-28 00:00:00+00:00,300352
71,-11500,345.0,2010000453,1,2014-05-29 00:00:00+00:00,600536
72,-49200,1476.0,2010003352,1,2014-05-29 00:00:00+00:00,002307
73,8200,246.0,2010007093,1,2014-05-29 00:00:00+00:00,300352
74,7600,228.0,2010000453,1,2014-05-30 00:00:00+00:00,600536
75,14700,441.0,2010003352,1,2014-05-30 00:00:00+00:00,002307
76,-13200,396.0,2010007093,1,2014-05-30 00:00:00+00:00,300352
77,-205100,6153.0,2010000453,1,2014-06-03 00:00:00+00:00,600536
78,-670400,20112.0,2010003352,1,2014-06-03 00:00:00+00:00,002307
79,-209800,6294.0,2010007093,1,2014-06-03 00:00:00+00:00,300352
80,445000,13350.0,2010003573,1,2014-06-05 00:00:00+00:00,300065
81,273300,8199.0,2010007098,1,2014-06-05 00:00:00+00:00,002700
82,14400,432.0,2010003573,1,2014-06-06 00:00:00+00:00,300065
83,3300,99.0,2010007098,1,2014-06-06 00:00:00+00:00,002700
84,-16700,501.0,2010003573,1,2014-06-09 00:00:00+00:00,300065
85,10800,324.0,2010007098,1,2014-06-09 00:00:00+00:00,002700
86,-442700,13281.0,2010003573,1,2014-06-10 00:00:00+00:00,300065
87,-287400,8622.0,2010007098,1,2014-06-10 00:00:00+00:00,002700
88,762800,22884.0,2010004323,1,2014-07-14 00:00:00+00:00,601880
89,87100,2613.0,2010004954,1,2014-07-14 00:00:00+00:00,002633
90,86000,2580.0,2010008258,1,2014-07-14 00:00:00+00:00,002726
91,67200,2016.0,2010008262,1,2014-07-14 00:00:00+00:00,603006
92,410600,12318.0,2010004323,1,2014-07-15 00:00:00+00:00,601880
93,41800,1254.0,2010004954,1,2014-07-15 00:00:00+00:00,002633
94,48800,1464.0,2010008258,1,2014-07-15 00:00:00+00:00,002726
95,27800,834.0,2010008262,1,2014-07-15 00:00:00+00:00,603006
96,1107400,33222.0,2010004323,1,2014-07-16 00:00:00+00:00,601880
97,-128900,3867.0,2010004954,1,2014-07-16 00:00:00+00:00,002633
98,120700,3621.0,2010008258,1,2014-07-16 00:00:00+00:00,002726
99,-95000,2850.0,2010008262,1,2014-07-16 00:00:00+00:00,603006
100,-2280800,68424.0,2010004323,1,2014-07-17 00:00:00+00:00,601880
101,-255500,7665.0,2010008258,1,2014-07-17 00:00:00+00:00,002726
102,245400,7362.0,2010001006,1,2014-07-22 00:00:00+00:00,000151
103,313600,9408.0,2010004936,1,2014-07-22 00:00:00+00:00,002629
104,97300,2919.0,2010008259,1,2014-07-22 00:00:00+00:00,002727
105,62500,1875.0,2010008279,1,2014-07-22 00:00:00+00:00,300387
106,-7000,210.0,2010001006,1,2014-07-23 00:00:00+00:00,000151
107,22100,663.0,2010004936,1,2014-07-23 00:00:00+00:00,002629
108,-200,6.0,2010008259,1,2014-07-23 00:00:00+00:00,002727
109,2700,81.0,2010008279,1,2014-07-23 00:00:00+00:00,300387
110,-238400,7152.0,2010001006,1,2014-07-24 00:00:00+00:00,000151
111,201600,6048.0,2010001006,1,2014-07-24 00:00:00+00:00,000151
112,-68300,2049.0,2010004936,1,2014-07-24 00:00:00+00:00,002629
113,-22300,669.0,2010008259,1,2014-07-24 00:00:00+00:00,002727
114,-13700,411.0,2010008279,1,2014-07-24 00:00:00+00:00,300387
115,-201600,6048.0,2010001006,1,2014-07-25 00:00:00+00:00,000151
116,-267400,8022.0,2010004936,1,2014-07-25 00:00:00+00:00,002629
117,-74800,2244.0,2010008259,1,2014-07-25 00:00:00+00:00,002727
118,-51500,1545.0,2010008279,1,2014-07-25 00:00:00+00:00,300387
119,383500,11505.0,2010001149,1,2014-08-29 00:00:00+00:00,000612
120,216700,6501.0,2010008400,1,2014-08-29 00:00:00+00:00,603126
121,222100,6663.0,2010008413,1,2014-08-29 00:00:00+00:00,603609
122,104700,3141.0,2010001149,1,2014-09-01 00:00:00+00:00,000612
123,66800,2004.0,2010008400,1,2014-09-01 00:00:00+00:00,603126
124,72600,2178.0,2010008413,1,2014-09-01 00:00:00+00:00,603609
125,-201000,6030.0,2010001149,1,2014-09-02 00:00:00+00:00,000612
126,132900,3987.0,2010004602,1,2014-09-02 00:00:00+00:00,002569
127,-116600,3498.0,2010008400,1,2014-09-02 00:00:00+00:00,603126
128,-115100,3453.0,2010008413,1,2014-09-02 00:00:00+00:00,603609
129,-287200,8616.0,2010001149,1,2014-09-03 00:00:00+00:00,000612
130,530500,15915.0,2010004602,1,2014-09-03 00:00:00+00:00,002569
131,-166900,5007.0,2010008400,1,2014-09-03 00:00:00+00:00,603126
132,-179600,5388.0,2010008413,1,2014-09-03 00:00:00+00:00,603609
133,-16000,480.0,2010004602,1,2014-09-04 00:00:00+00:00,002569
134,-647400,19422.0,2010004602,1,2014-09-05 00:00:00+00:00,002569
135,305000,9150.0,2010000816,1,2014-09-23 00:00:00+00:00,600965
136,592200,17766.0,2010001235,1,2014-09-23 00:00:00+00:00,000720
137,153200,4596.0,2010004918,1,2014-09-23 00:00:00+00:00,002624
138,-28400,852.0,2010000816,1,2014-09-24 00:00:00+00:00,600965
139,26700,801.0,2010001235,1,2014-09-24 00:00:00+00:00,000720
140,188900,5667.0,2010001517,1,2014-09-24 00:00:00+00:00,002074
141,2500,75.0,2010004918,1,2014-09-24 00:00:00+00:00,002624
142,-276600,8298.0,2010000816,1,2014-09-25 00:00:00+00:00,600965
143,210500,6315.0,2010001235,1,2014-09-25 00:00:00+00:00,000720
144,36700,1101.0,2010001517,1,2014-09-25 00:00:00+00:00,002074
145,45600,1368.0,2010004918,1,2014-09-25 00:00:00+00:00,002624
146,-829400,24882.0,2010001235,1,2014-09-26 00:00:00+00:00,000720
147,454400,13632.0,2010001517,1,2014-09-26 00:00:00+00:00,002074
148,-201300,6039.0,2010004918,1,2014-09-26 00:00:00+00:00,002624
149,-680000,20400.0,2010001517,1,2014-09-29 00:00:00+00:00,002074
150,103900,3117.0,2010008844,1,2014-11-24 00:00:00+00:00,300403
151,118400,3552.0,2010008844,1,2014-11-25 00:00:00+00:00,300403
152,-1300,39.0,2010008844,1,2014-11-26 00:00:00+00:00,300403
