,amount,commission,sid,status,time,symbol
0,151000,3055.485,2010009543,1,2015/02/12,300418
1,-2700,253.422,2010009543,1,2015/02/13,300418
2,100,1.9635,2010009543,1,2015/02/25,300418
3,-74100,7244.9793,2010009543,1,2015/03/13,300418
4,249100,1664.2371,2010000234,1,2015/03/13,600266
5,74000,1629.924,2010009543,1,2015/03/16,300418
6,-1700,49.725,2010000234,1,2015/03/17,600266
7,-73200,7480.5276,2010009543,1,2015/03/17,300418
8,15600,103.428,2010000234,1,2015/03/18,600266
9,100,2.3961,2010009543,1,2015/03/18,300418
10,-1100,115.401,2010009543,1,2015/03/19,300418
11,-400,11.7624,2010000234,1,2015/03/20,600266
12,4700,31.815,2010000234,1,2015/03/19,600266
13,-400,12.6568,2010000234,1,2015/03/23,600266
14,-10900,331.1529,2010000234,1,2015/03/24,600266
15,100,2.5731,2010009543,1,2015/03/23,300418
16,-4000,409.916,2010009543,1,2015/03/25,300418
17,13700,92.6805,2010000234,1,2015/03/25,600266
18,3400,80.6148,2010009543,1,2015/03/24,300418
19,-6200,187.6368,2010000234,1,2015/03/26,600266
20,-2600,79.1596,2010000234,1,2015/03/27,600266
21,1700,39.1425,2010009543,1,2015/03/26,300418
22,800,18.42,2010009543,1,2015/03/27,300418
23,-5500,161.876,2010000234,1,2015/03/30,600266
24,-2800,291.6004,2010009543,1,2015/03/31,300418
25,9500,64.3815,2010000234,1,2015/03/31,600266
26,1800,43.2456,2010009543,1,2015/03/30,300418
27,-100,11.0045,2010009543,1,2015/04/01,300418
28,-2300,264.5851,2010009543,1,2015/04/02,300418
29,700,4.8261,2010000234,1,2015/04/01,600266
30,8400,58.3488,2010000234,1,2015/04/02,600266
31,-900,113.8878,2010009543,1,2015/04/03,300418
32,3900,27.1089,2010000234,1,2015/04/03,600266
33,-2800,389.7348,2010009543,1,2015/04/07,300418
34,-1900,277.875,2010009543,1,2015/04/08,300418
35,9200,70.7388,2010000234,1,2015/04/08,600266
36,11800,90.7302,2010000234,1,2015/04/07,600266
37,-2600,84.838,2010000234,1,2015/04/09,600266
38,-3600,637.0884,2010009543,1,2015/04/10,300418
39,300,12.2517,2010009543,1,2015/04/09,300418
40,18000,132.174,2010000234,1,2015/04/10,600266
41,-63800,10906.61,2010009543,1,2015/04/13,300418
42,346500,2362.0329,2010000234,1,2015/04/13,600266
43,-300,8.8257,2010000234,1,2015/04/14,600266
44,24500,165.963,2010000234,1,2015/04/15,600266
45,100,0.6828,2010000234,1,2015/04/16,600266
46,-685100,18444.9473,2010000234,1,2015/05/07,600266
47,160200,3921.696,2010010297,1,2015/06/11,603355
48,13400,295.2288,2010010297,1,2015/06/12,603355
49,1500,29.9295,2010010297,1,2015/06/15,603355
50,-175100,15781.5879,2010010297,1,2015/06/16,603355
51,1070000,3277.41,2010007117,1,2015/07/07,603993
52,118100,397.8789,2010007117,1,2015/07/08,603993
53,-10700,171.7885,2010007117,1,2015/07/09,603993
54,900,3.6693,2010007117,1,2015/07/10,603993
55,-785500,17737.3755,2010007117,1,2015/07/20,603993
56,128900,1862.7339,2010001666,1,2015/07/20,002223
57,378600,1969.4772,2010003349,1,2015/07/20,002303
58,784400,3976.908,2010007117,1,2015/07/21,603993
59,-23700,1580.2449,2010001666,1,2015/07/22,002223
60,-86500,1973.4975,2010003349,1,2015/07/22,002303
61,-877500,19278.675,2010007117,1,2015/07/22,603993
62,138800,1021.4292,2010001301,1,2015/07/23,000810
63,-37600,2390.232,2010001666,1,2015/07/23,002223
64,-94700,2165.5049,2010003349,1,2015/07/23,002303
65,143400,1000.215,2010003566,1,2015/07/23,002375
66,52800,1053.36,2010004344,1,2015/07/23,300144
67,-94700,2137.1896,2010007117,1,2015/07/23,603993
68,206100,1563.6807,2010004133,1,2015/07/22,002470
69,-33400,958.7136,2010001301,1,2015/07/24,000810
70,-14700,841.0311,2010001666,1,2015/07/24,002223
71,-50500,1039.2395,2010003349,1,2015/07/24,002303
72,-32200,876.1298,2010003566,1,2015/07/24,002375
73,-103900,3074.1932,2010004133,1,2015/07/24,002470
74,-13900,1081.4895,2010004344,1,2015/07/24,300144
75,-56100,1139.1666,2010007117,1,2015/07/24,603993
76,-105400,2722.5874,2010001301,1,2015/07/27,000810
77,-111200,2737.9664,2010003566,1,2015/07/27,002375
78,-102200,3147.4534,2010004133,1,2015/07/27,002470
79,-38900,2949.7481,2010004344,1,2015/07/27,300144
80,38700,663.5115,2010001574,1,2015/07/24,002131
81,233800,999.495,2010003349,1,2015/07/27,002303
82,-36100,2069.613,2010001666,1,2015/07/28,002223
83,-75000,1326.975,2010003349,1,2015/07/28,002303
84,-112400,2428.5144,2010007117,1,2015/07/28,603993
85,37400,603.7482,2010001574,1,2015/07/28,002131
86,84000,1088.7012,2010001666,1,2015/07/27,002223
87,32500,402.675,2010001666,1,2015/07/29,002223
88,-305700,5047.107,2010003349,1,2015/07/29,002303
89,236900,1129.8945,2010007117,1,2015/07/27,603993
90,80500,369.7365,2010007117,1,2015/07/29,603993
91,22200,358.3746,2010001574,1,2015/07/29,002131
92,-36900,2323.1871,2010001574,1,2015/07/30,002131
93,-53300,2849.8977,2010001666,1,2015/07/30,002223
94,-138200,2770.3572,2010007117,1,2015/07/30,603993
95,107700,830.547,2010000361,1,2015/07/30,600410
96,35800,270.4332,2010000361,1,2015/07/31,600410
97,-61400,3480.152,2010001574,1,2015/07/31,002131
98,17100,196.0173,2010001666,1,2015/07/31,002223
99,63100,864.0561,2010004990,1,2015/07/30,002642
100,17800,239.0718,2010004990,1,2015/07/31,002642
101,43500,181.395,2010007117,1,2015/07/31,603993
102,-97100,5074.446,2010001666,1,2015/08/03,002223
103,55200,454.3704,2010000361,1,2015/08/03,600410
104,-53200,1869.3948,2010000361,1,2015/08/04,600410
105,30800,437.424,2010004990,1,2015/08/03,002642
106,-27900,1668.42,2010004990,1,2015/08/04,002642
107,100800,446.034,2010007117,1,2015/08/03,603993
108,-91300,1703.2015,2010007117,1,2015/08/04,603993
109,-22100,1159.8301,2010000279,1,2015/08/05,600315
110,-30200,1063.1608,2010000361,1,2015/08/05,600410
111,-16000,929.76,2010004990,1,2015/08/05,002642
112,-51600,935.766,2010007117,1,2015/08/05,603993
113,98300,1202.9853,2010000279,1,2015/08/04,600315
114,-300,16.0758,2010000279,1,2015/08/06,600315
115,-2100,78.1326,2010000361,1,2015/08/06,600410
116,-7800,109.512,2010000477,1,2015/08/06,600565
117,700,10.1388,2010004990,1,2015/08/06,002642
118,2400,10.4544,2010007117,1,2015/08/06,603993
119,287300,937.668,2010000477,1,2015/08/05,600565
120,-2000,77.948,2010000361,1,2015/08/07,600410
121,-2600,172.7856,2010004990,1,2015/08/07,002642
122,-400,8.1536,2010007117,1,2015/08/07,603993
123,1200,15.18,2010000279,1,2015/08/07,600315
124,-11300,614.3358,2010000279,1,2015/08/10,600315
125,-18300,691.8132,2010000361,1,2015/08/10,600410
126,14900,50.799,2010000477,1,2015/08/07,600565
127,-45600,676.9776,2010000477,1,2015/08/10,600565
128,-11400,743.964,2010004990,1,2015/08/10,002642
