,capital_used,ending_cash,ending_value,orders,period_close,period_open,pnl,portfolio_value,positions,returns,starting_cash,starting_value,transactions
2014-01-02 15:00:00,0.0,16000000.0,0.0,[],2014-01-02 15:00:00+00:00,2014-01-02 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-03 15:00:00,0.0,16000000.0,0.0,[],2014-01-03 15:00:00+00:00,2014-01-03 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-06 15:00:00,0.0,16000000.0,0.0,[],2014-01-06 15:00:00+00:00,2014-01-06 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-07 15:00:00,0.0,16000000.0,0.0,[],2014-01-07 15:00:00+00:00,2014-01-07 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-08 15:00:00,0.0,16000000.0,0.0,[],2014-01-08 15:00:00+00:00,2014-01-08 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-09 15:00:00,0.0,16000000.0,0.0,[],2014-01-09 15:00:00+00:00,2014-01-09 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-10 15:00:00,0.0,16000000.0,0.0,[],2014-01-10 15:00:00+00:00,2014-01-10 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-13 15:00:00,0.0,16000000.0,0.0,[],2014-01-13 15:00:00+00:00,2014-01-13 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-14 15:00:00,0.0,16000000.0,0.0,[],2014-01-14 15:00:00+00:00,2014-01-14 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-15 15:00:00,0.0,16000000.0,0.0,[],2014-01-15 15:00:00+00:00,2014-01-15 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-16 15:00:00,0.0,16000000.0,0.0,[],2014-01-16 15:00:00+00:00,2014-01-16 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-17 15:00:00,0.0,16000000.0,0.0,[],2014-01-17 15:00:00+00:00,2014-01-17 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-20 15:00:00,0.0,16000000.0,0.0,[],2014-01-20 15:00:00+00:00,2014-01-20 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-21 15:00:00,0.0,16000000.0,0.0,[],2014-01-21 15:00:00+00:00,2014-01-21 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-22 15:00:00,0.0,16000000.0,0.0,[],2014-01-22 15:00:00+00:00,2014-01-22 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-23 15:00:00,0.0,16000000.0,0.0,[],2014-01-23 15:00:00+00:00,2014-01-23 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-24 15:00:00,0.0,16000000.0,0.0,[],2014-01-24 15:00:00+00:00,2014-01-24 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-27 15:00:00,0.0,16000000.0,0.0,[],2014-01-27 15:00:00+00:00,2014-01-27 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-28 15:00:00,0.0,16000000.0,0.0,[],2014-01-28 15:00:00+00:00,2014-01-28 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-29 15:00:00,0.0,16000000.0,0.0,[],2014-01-29 15:00:00+00:00,2014-01-29 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-01-30 15:00:00,0.0,16000000.0,0.0,[],2014-01-30 15:00:00+00:00,2014-01-30 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-02-07 15:00:00,0.0,16000000.0,0.0,[],2014-02-07 15:00:00+00:00,2014-02-07 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2014-02-10 15:00:00,0.0,16000000.0,0.0,[],2014-02-10 15:00:00+00:00,2014-02-10 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
