dt,sid,price,high,low,open,ret,volume,sid,dt
2014-01-02 00:00:00+00:00,000001.SH,2109.39,,,,,,000001.SH,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,000300.SH,2321.98,,,,,,000300.SH,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000001,9.33,9.45,9.29,9.44,-1.0604,69821037.0,2010000001,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000005,6.94,6.97,6.9,6.93,-0.1439,2786503.0,2010000005,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000006,2.17,2.22,2.15,2.19,-1.3636,30013672.0,2010000006,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000007,2.9,2.91,2.88,2.91,-0.3436,3606726.0,2010000007,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000008,10.54,10.59,10.46,10.59,-0.6598,424650.0,2010000008,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000009,6.73,6.79,6.68,6.76,-0.4438,7094807.0,2010000009,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000010,14.49,14.53,14.3,14.3,1.1872,5929995.0,2010000010,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000011,4.74,4.74,4.74,4.74,9.9768,24833249.0,2010000011,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000012,5.05,5.1,5.01,5.03,-0.1976,11596205.0,2010000012,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000013,3.89,3.92,3.86,3.91,-1.269,2863204.0,2010000013,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000014,8.3,8.51,8.24,8.51,-3.1505,37610633.0,2010000014,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000015,7.73,7.75,7.65,7.67,0.1295,94240593.0,2010000015,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000016,2.55,2.56,2.52,2.54,0.3937,4920831.0,2010000016,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000017,5.26,5.34,5.24,5.28,-0.3788,34327702.0,2010000017,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000018,4.04,4.07,4.0,4.07,-1.2225,35306964.0,2010000018,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000019,2.22,2.23,2.2,2.22,,1178967.0,2010000019,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000020,4.63,4.69,4.58,4.66,-0.2155,12947426.0,2010000020,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000021,1.67,1.67,1.65,1.67,,6381090.0,2010000021,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000022,4.79,4.93,4.77,4.86,-1.6427,4808500.0,2010000022,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000023,3.0,3.02,2.99,3.0,-0.6623,10155382.0,2010000023,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000024,4.46,4.49,4.44,4.46,-0.4464,34716699.0,2010000024,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000025,2.73,2.75,2.72,2.74,-0.7273,9600401.0,2010000025,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000026,12.59,12.69,12.48,12.61,-1.2549,67821633.0,2010000026,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000027,6.38,6.41,6.36,6.41,-0.6231,9087799.0,2010000027,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000028,2.14,2.15,2.11,2.13,,4835438.0,2010000028,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000029,3.02,3.04,3.01,3.03,-0.6579,1724997.0,2010000029,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000030,10.73,10.86,10.67,10.84,-1.4692,53256490.0,2010000030,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000031,7.83,7.85,7.72,7.75,0.5135,5349107.0,2010000031,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000032,28.4,28.58,27.37,27.6,3.3103,3951280.0,2010000032,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000033,6.0,6.05,5.99,6.01,-0.6623,2614829.0,2010000033,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000034,8.18,8.26,8.13,8.19,-0.8485,32159157.0,2010000034,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000035,3.23,3.24,3.2,3.21,0.6231,51712511.0,2010000035,2014-01-02 00:00:00+00:00
2014-01-02 00:00:00+00:00,2010000037,3.44,3.46,3.41,3.44,,1416300.0,2010000037,2014-01-02 00:00:00+00:00
