,capital_used,ending_cash,ending_value,orders,period_close,period_open,pnl,portfolio_value,positions,returns,starting_cash,starting_value,transactions
2007-01-04 15:00:00,0.0,16000000.0,0.0,[],2007-01-04 15:00:00+00:00,2007-01-04 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-05 15:00:00,0.0,16000000.0,0.0,[],2007-01-05 15:00:00+00:00,2007-01-05 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-08 15:00:00,0.0,16000000.0,0.0,[],2007-01-08 15:00:00+00:00,2007-01-08 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-09 15:00:00,0.0,16000000.0,0.0,[],2007-01-09 15:00:00+00:00,2007-01-09 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-10 15:00:00,0.0,16000000.0,0.0,[],2007-01-10 15:00:00+00:00,2007-01-10 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-11 15:00:00,0.0,16000000.0,0.0,[],2007-01-11 15:00:00+00:00,2007-01-11 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-12 15:00:00,0.0,16000000.0,0.0,[],2007-01-12 15:00:00+00:00,2007-01-12 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-15 15:00:00,0.0,16000000.0,0.0,[],2007-01-15 15:00:00+00:00,2007-01-15 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-16 15:00:00,0.0,16000000.0,0.0,[],2007-01-16 15:00:00+00:00,2007-01-16 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-17 15:00:00,0.0,16000000.0,0.0,[],2007-01-17 15:00:00+00:00,2007-01-17 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-18 15:00:00,0.0,16000000.0,0.0,[],2007-01-18 15:00:00+00:00,2007-01-18 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-19 15:00:00,0.0,16000000.0,0.0,[],2007-01-19 15:00:00+00:00,2007-01-19 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-22 15:00:00,0.0,16000000.0,0.0,[],2007-01-22 15:00:00+00:00,2007-01-22 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-23 15:00:00,0.0,16000000.0,0.0,[],2007-01-23 15:00:00+00:00,2007-01-23 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-24 15:00:00,0.0,16000000.0,0.0,[],2007-01-24 15:00:00+00:00,2007-01-24 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-25 15:00:00,0.0,16000000.0,0.0,[],2007-01-25 15:00:00+00:00,2007-01-25 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-26 15:00:00,0.0,16000000.0,0.0,[],2007-01-26 15:00:00+00:00,2007-01-26 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-29 15:00:00,0.0,16000000.0,0.0,[],2007-01-29 15:00:00+00:00,2007-01-29 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-30 15:00:00,0.0,16000000.0,0.0,[],2007-01-30 15:00:00+00:00,2007-01-30 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-01-31 15:00:00,0.0,16000000.0,0.0,[],2007-01-31 15:00:00+00:00,2007-01-31 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-01 15:00:00,0.0,16000000.0,0.0,[],2007-02-01 15:00:00+00:00,2007-02-01 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-02 15:00:00,0.0,16000000.0,0.0,[],2007-02-02 15:00:00+00:00,2007-02-02 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-05 15:00:00,0.0,16000000.0,0.0,[],2007-02-05 15:00:00+00:00,2007-02-05 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-06 15:00:00,0.0,16000000.0,0.0,[],2007-02-06 15:00:00+00:00,2007-02-06 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-07 15:00:00,0.0,16000000.0,0.0,[],2007-02-07 15:00:00+00:00,2007-02-07 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-08 15:00:00,0.0,16000000.0,0.0,"[{'status': 0, 'created': datetime.datetime(2007, 2, 8, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': None, 'amount': 890800, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2007, 2, 8, 0, 0, tzinfo=<UTC>), 'id': '969aca3290954a338871c64e8729985a', 'filled': 0}]",2007-02-08 15:00:00+00:00,2007-02-08 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-09 15:00:00,0.0,16000000.0,0.0,[],2007-02-09 15:00:00+00:00,2007-02-09 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-12 15:00:00,0.0,16000000.0,0.0,[],2007-02-12 15:00:00+00:00,2007-02-12 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-13 15:00:00,0.0,16000000.0,0.0,[],2007-02-13 15:00:00+00:00,2007-02-13 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-14 15:00:00,0.0,16000000.0,0.0,[],2007-02-14 15:00:00+00:00,2007-02-14 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-15 15:00:00,0.0,16000000.0,0.0,[],2007-02-15 15:00:00+00:00,2007-02-15 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-16 15:00:00,0.0,16000000.0,0.0,[],2007-02-16 15:00:00+00:00,2007-02-16 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-26 15:00:00,0.0,16000000.0,0.0,[],2007-02-26 15:00:00+00:00,2007-02-26 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-27 15:00:00,0.0,16000000.0,0.0,[],2007-02-27 15:00:00+00:00,2007-02-27 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-02-28 15:00:00,0.0,16000000.0,0.0,[],2007-02-28 15:00:00+00:00,2007-02-28 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-01 15:00:00,0.0,16000000.0,0.0,[],2007-03-01 15:00:00+00:00,2007-03-01 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-02 15:00:00,0.0,16000000.0,0.0,[],2007-03-02 15:00:00+00:00,2007-03-02 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-05 15:00:00,0.0,16000000.0,0.0,[],2007-03-05 15:00:00+00:00,2007-03-05 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-06 15:00:00,0.0,16000000.0,0.0,[],2007-03-06 15:00:00+00:00,2007-03-06 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-07 15:00:00,0.0,16000000.0,0.0,[],2007-03-07 15:00:00+00:00,2007-03-07 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-08 15:00:00,0.0,16000000.0,0.0,[],2007-03-08 15:00:00+00:00,2007-03-08 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-09 15:00:00,0.0,16000000.0,0.0,[],2007-03-09 15:00:00+00:00,2007-03-09 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-12 15:00:00,0.0,16000000.0,0.0,[],2007-03-12 15:00:00+00:00,2007-03-12 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-13 15:00:00,0.0,16000000.0,0.0,[],2007-03-13 15:00:00+00:00,2007-03-13 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-14 15:00:00,0.0,16000000.0,0.0,[],2007-03-14 15:00:00+00:00,2007-03-14 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-15 15:00:00,0.0,16000000.0,0.0,[],2007-03-15 15:00:00+00:00,2007-03-15 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-16 15:00:00,0.0,16000000.0,0.0,[],2007-03-16 15:00:00+00:00,2007-03-16 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-19 15:00:00,0.0,16000000.0,0.0,[],2007-03-19 15:00:00+00:00,2007-03-19 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-20 15:00:00,0.0,16000000.0,0.0,[],2007-03-20 15:00:00+00:00,2007-03-20 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-21 15:00:00,0.0,16000000.0,0.0,[],2007-03-21 15:00:00+00:00,2007-03-21 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-22 15:00:00,0.0,16000000.0,0.0,[],2007-03-22 15:00:00+00:00,2007-03-22 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-23 15:00:00,0.0,16000000.0,0.0,[],2007-03-23 15:00:00+00:00,2007-03-23 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-26 15:00:00,0.0,16000000.0,0.0,[],2007-03-26 15:00:00+00:00,2007-03-26 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-27 15:00:00,0.0,16000000.0,0.0,[],2007-03-27 15:00:00+00:00,2007-03-27 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2007-03-28 15:00:00,0.0,16000000.0,0.0,[],2007-03-28 15:00:00+00:00,2007-03-28 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
