,capital_used,ending_cash,ending_value,orders,period_close,period_open,pnl,portfolio_value,positions,returns,starting_cash,starting_value,transactions
2005-01-04 15:00:00,0.0,16000000.0,0.0,[],2005-01-04 15:00:00+00:00,2005-01-04 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2005-01-05 15:00:00,0.0,16000000.0,0.0,[],2005-01-05 15:00:00+00:00,2005-01-05 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2005-01-06 15:00:00,0.0,16000000.0,0.0,[],2005-01-06 15:00:00+00:00,2005-01-06 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2005-01-07 15:00:00,0.0,16000000.0,0.0,[],2005-01-07 15:00:00+00:00,2005-01-07 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2005-01-10 15:00:00,0.0,16000000.0,0.0,[],2005-01-10 15:00:00+00:00,2005-01-10 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2005-01-11 15:00:00,0.0,16000000.0,0.0,[],2005-01-11 15:00:00+00:00,2005-01-11 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2005-01-12 15:00:00,0.0,16000000.0,0.0,[],2005-01-12 15:00:00+00:00,2005-01-12 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2005-01-13 15:00:00,0.0,16000000.0,0.0,[],2005-01-13 15:00:00+00:00,2005-01-13 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2005-01-14 15:00:00,0.0,16000000.0,0.0,[],2005-01-14 15:00:00+00:00,2005-01-14 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2005-01-17 15:00:00,0.0,16000000.0,0.0,[],2005-01-17 15:00:00+00:00,2005-01-17 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2005-01-18 15:00:00,0.0,16000000.0,0.0,[],2005-01-18 15:00:00+00:00,2005-01-18 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
2005-01-19 15:00:00,0.0,16000000.0,0.0,[],2005-01-19 15:00:00+00:00,2005-01-19 09:31:00+00:00,0.0,16000000.0,[],0.0,16000000.0,0.0,[]
